المقطع الأول,المقطع الثاني,Language
"عم يرجف قلبي يا إمي ومنّي برداني، ليل نهار بحسّ بدمي نارو شعلاني "," الهيئة مغرومة يا أمي، الهيئة مغرومة يا أمي، الهيئة مغرومة يا أمي وماني عرفانة",Arabic
من نظرة خدني في لحظة دوبنا إحنا سوى حبيبي دا, أجمل كلام بعيونه قاله عن الهوى حبيبي دا ,Arabic
كل مرة أشوفك فيها ببقى نفسي أه-أه, أجيلك أقولك إنك كلك على بعضك عندي بالحياة,Arabic
" صدفة غريبة ولا بالخيال,  كيف التقينا وحكيوا عينينا,  من دون سؤال"," أنا أول مرة بحاكي ملاك,  أنا شو بتعنيلي الدنيا بلاك,  صحرا ما فيها لا ماي ولا هواء",Arabic
تزعل مني وبتزعلني وتاني يوم بتسأل عني أطيب من قلبك انت بكل الدنيا ما فيه, بتعذبني وبتراضيني بتضحكني وبتبكيني قلبك ما بحبه قلبك بعشق كل شي فيه,Arabic
مش هحب تاني ايوه تاني قلبي بلاستيك اصلوا اناني أه اذاني و طلع فستك, خد فرحتي و حناني و دنيتي راح حب صاحبتي و طلع فستك ,Arabic
"جاني بهدواة داوى جرح قديم وجدد روحي. راحت مني نن عينه، خدني غصب عني هوبا."," علم علامة جوا قلبي، سابلي بصمة. بسمة العيون ورسمة الشفايف، شايف الحلاوة",Arabic
فيي كون خاين انا غدار قاسي قلوب, فيي كون مجنون او عاقل جمر عم دوب,Arabic
. اه منك صنف خاين و بتاع حركات كل اللي اتخان معايا يعمل لايكات, ما هو خد فرحتي و حناني و دنيتي راح حب صاحبتي و طلع فستك,Arabic
 ضحكت يعني قلبها مال وخلاص الفرق ما بينا إتشال , يلا يا قلبي روحلها يلا قولها كل اللي بيتقال,Arabic
لما بسمع صوتك بنسا كل لي بدي قولو,بدك قلي علي بقلبي و يقولو شو ما يقولو,Arabic
شو حلو حبيبي شو حلو ها القمر شوفوا ما أجمله,بس أنا ع بالي دلله وحياتي ما حدا بقى يزعله,Arabic
